time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1671352829.60823298,0.00089657,0.00035119,-nan,96.00000000,0.00089657,0.000000,0.000000
1671352829.70909977,0.00074969,0.00024495,-nan,227.00000000,0.00060281,0.000000,0.000000
1671352829.80995846,0.00070748,0.00019548,-nan,309.00000000,0.00062306,0.000000,0.000000
1671352829.91080976,0.00065784,0.00021152,-nan,401.00000000,0.00050892,0.000000,0.000000
1671352830.01166987,0.00079106,0.00011479,0.00000200,469.00000000,0.00132392,0.000000,0.000000
1671352830.11312294,0.00097519,0.00021709,0.00000199,509.00000000,0.00189586,0.000000,0.000000
1671352830.21338654,0.00102619,0.00010304,0.00000165,550.00000000,0.00133221,0.000000,0.000000
1671352830.31426048,0.00119791,0.00026289,0.00000211,568.00000000,0.00239997,0.000000,0.000000
1671352830.41509962,0.00129154,0.00037284,0.00000210,621.00000000,0.00204050,0.000000,0.000000
1671352830.51596165,0.00146740,0.00024688,0.00000200,692.00000000,0.00305017,0.000000,0.000000
1671352830.61681890,0.00150041,0.00022325,0.00000195,800.00000000,0.00183048,0.000000,0.000000
1671352830.71769714,0.00152655,0.00015209,0.00000197,823.00000000,0.00181410,0.000000,0.000000
1671352830.81859756,0.00154279,0.00013811,0.00000228,869.00000000,0.00173774,0.000000,0.000000
1671352830.91939974,0.00162680,0.00027578,0.00000236,874.00000000,0.00271889,0.000000,0.000000
1671352831.02027130,0.00171428,0.00030310,0.00000235,942.00000000,0.00293901,0.000000,0.000000
1671352831.12110996,0.00180786,0.00036494,0.00000246,990.00000000,0.00321148,0.000000,0.000000
1671352831.22199535,0.00190477,0.00037320,0.00000209,1076.00000000,0.00345548,0.000000,0.000000
1671352831.32284117,0.00200684,0.00054930,0.00000205,1149.00000000,0.00374194,0.000000,0.000000
1671352831.42370868,0.00209990,0.00043425,0.00000218,1290.00000000,0.00377503,0.000000,0.000000
1671352831.52456594,0.00217526,0.00044994,0.00000237,1379.00000000,0.00360716,0.000000,0.000000
1671352831.62542081,0.00224985,0.00042734,0.00000215,1461.00000000,0.00374146,0.000000,0.000000
1671352831.72627211,0.00233519,0.00051799,0.00000256,1575.00000000,0.00412751,0.000000,0.000000
1671352831.82714987,0.00239425,0.00047101,0.00000214,1639.00000000,0.00369357,0.000000,0.000000
1671352831.92800570,0.00244097,0.00040613,0.00000220,1700.00000000,0.00351556,0.000000,0.000000
1671352832.02882671,0.00250188,0.00042829,0.00000225,1771.00000000,0.00396364,0.000000,0.000000
1671352832.12975550,0.00258782,0.00051619,0.00000274,1866.00000000,0.00473619,0.000000,0.000000
1671352832.23058677,0.00268102,0.00070600,0.00000273,1942.00000000,0.00510438,0.000000,0.000000
1671352832.33144188,0.00271903,0.00032674,0.00000216,1976.00000000,0.00374514,0.000000,0.000000
1671352832.43230081,0.00277344,0.00049695,0.00000255,2041.00000000,0.00429693,0.000000,0.000000
1671352832.53315973,0.00281278,0.00053084,0.00000222,2074.00000000,0.00395370,0.000000,0.000000
1671352832.63406372,0.00287400,0.00046672,0.00000260,2111.00000000,0.00471066,0.000000,0.000000
1671352832.73486996,0.00293135,0.00041253,0.00000239,2208.00000000,0.00470932,0.000000,0.000000
1671352832.83576202,0.00299795,0.00054863,0.00000264,2313.00000000,0.00512915,0.000000,0.000000
1671352832.93658066,0.00303057,0.00030564,0.00000233,2406.00000000,0.00410682,0.000000,0.000000
1671352833.03742886,0.00306293,0.00032807,0.00000245,2457.00000000,0.00416341,0.000000,0.000000
1671352833.13839579,0.00311246,0.00038063,0.00000267,2495.00000000,0.00484600,0.000000,0.000000
1671352833.23916769,0.00314999,0.00044445,0.00000273,2533.00000000,0.00450089,0.000000,0.000000
1671352833.34002352,0.00318890,0.00056481,0.00000239,2583.00000000,0.00462843,0.000000,0.000000
1671352833.44089913,0.00325174,0.00061575,0.00000274,2625.00000000,0.00563980,0.000000,0.000000
1671352833.54175425,0.00333049,0.00080854,0.00000275,2727.00000000,0.00640176,0.000000,0.000000
1671352833.64271164,0.00338229,0.00059081,0.00000238,2798.00000000,0.00545431,0.000000,0.000000
1671352833.74349165,0.00344516,0.00094996,0.00000237,2903.00000000,0.00602266,0.000000,0.000000
1671352833.84433174,0.00348791,0.00060690,0.00000238,2770.00000000,0.00528351,0.000000,0.000000
1671352833.94527936,0.00352645,0.00056082,0.00000239,2966.00000000,0.00518367,0.000000,0.000000
1671352834.04602790,0.00357666,0.00055514,0.00000291,3076.00000000,0.00578594,0.000000,0.000000
1671352834.14690161,0.00363575,0.00059220,0.00000289,3158.00000000,0.00629477,0.000000,0.000000
1671352834.24775982,0.00366923,0.00045857,0.00000259,3277.00000000,0.00520913,0.000000,0.000000
1671352834.34860945,0.00372253,0.00055841,0.00000291,3320.00000000,0.00622801,0.000000,0.000000
1671352834.44949436,0.00376417,0.00047788,0.00000308,3394.00000000,0.00576262,0.000000,0.000000
1671352834.55033398,0.00378557,0.00045046,0.00000258,3443.00000000,0.00483407,0.000000,0.000000
1671352834.65125537,0.00382416,0.00039657,0.00000317,3478.00000000,0.00575408,0.000000,0.000000
1671352834.75207829,0.00387064,0.00077093,0.00000296,3541.00000000,0.00624100,0.000000,0.000000
1671352834.85291672,0.00390244,0.00049753,0.00000282,3581.00000000,0.00555599,0.000000,0.000000
1671352834.95375156,0.00394164,0.00061144,0.00000315,3611.00000000,0.00601943,0.000000,0.000000
1671352835.05461216,0.00396243,0.00048821,0.00000256,3649.00000000,0.00508504,0.000000,0.000000
1671352835.15548372,0.00399028,0.00054155,0.00000252,3704.00000000,0.00552173,0.000000,0.000000
1671352835.25635099,0.00401593,0.00054033,0.00000260,3737.00000000,0.00545226,0.000000,0.000000
1671352835.35721445,0.00407141,0.00085712,0.00000310,3832.00000000,0.00723411,0.000000,0.000000
1671352835.45808554,0.00410524,0.00074630,0.00000256,3920.00000000,0.00606712,0.000000,0.000000
1671352835.55891609,0.00413820,0.00099732,0.00000260,4025.00000000,0.00608296,0.000000,0.000000
1671352835.65975976,0.00416076,0.00057256,0.00000252,3993.00000000,0.00551436,0.000000,0.000000
1671352835.76061416,0.00417842,0.00050749,0.00000251,4073.00000000,0.00525542,0.000000,0.000000
1671352835.86147928,0.00419541,0.00053577,0.00000249,4127.00000000,0.00524929,0.000000,0.000000
1671352835.96234846,0.00420965,0.00052815,0.00000250,4184.00000000,0.00510677,0.000000,0.000000
1671352836.06319141,0.00422401,0.00054370,0.00000257,4279.00000000,0.00514271,0.000000,0.000000
1671352836.16407728,0.00424357,0.00047441,0.00000311,4350.00000000,0.00551480,0.000000,0.000000
1671352836.26494312,0.00425894,0.00051635,0.00000267,4397.00000000,0.00527364,0.000000,0.000000
1671352836.36579823,0.00426619,0.00039013,0.00000263,4444.00000000,0.00475164,0.000000,0.000000
1671352836.46666861,0.00428955,0.00050198,0.00000303,4486.00000000,0.00587841,0.000000,0.000000
